"","stationID","year","month","day","hours","minutes","seconds","humid","pressure","temp","wind_speed"
"1",1,"2013","01","01","01","00","00",53.97,1013.9,37.04,10.35702
"2",1,"2013","01","01","02","00","00",53.97,1013,37.04,13.80936
"3",1,"2013","01","01","03","00","00",52.09,1012.6,37.94,12.65858
"4",1,"2013","01","01","04","00","00",54.51,1012.7,37.94,13.80936
"5",1,"2013","01","01","05","00","00",57.04,1012.8,37.94,14.96014
"6",1,"2013","01","01","07","00","00",59.37,1012,39.02,10.35702
"7",1,"2013","01","01","08","00","00",61.63,1012.3,39.02,8.05546
"8",1,"2013","01","01","09","00","00",64.43,1012.5,39.02,11.5078
"9",1,"2013","01","01","10","00","00",62.21,1012.2,39.92,12.65858
"10",1,"2013","01","01","11","00","00",64.43,1011.9,39.02,12.65858
"11",1,"2013","01","01","12","00","00",67.21,1012.4,37.94,11.5078
"12",1,"2013","01","01","13","00","00",64.43,1012.2,39.02,14.96014
"13",1,"2013","01","01","14","00","00",62.21,1012.2,39.92,10.35702
"14",1,"2013","01","01","15","00","00",62.21,1012.7,39.92,14.96014
"15",1,"2013","01","01","16","00","00",59.65,1012.4,41,13.80936
"16",1,"2013","01","01","17","00","00",57.06,1011.4,41,14.96014
"17",1,"2013","01","01","18","00","00",64.93,NA,39.2,16.11092
"18",1,"2013","01","01","19","00","00",64.93,NA,39.2,14.96014
"19",1,"2013","01","01","20","00","00",54.68,1010.8,39.02,13.80936
"20",1,"2013","01","01","21","00","00",57.04,1011.9,37.94,9.20624
"21",1,"2013","01","01","22","00","00",49.62,1012.1,37.04,13.80936
"22",1,"2013","01","01","23","00","00",49.83,1013.2,35.96,11.5078
"23",1,"2013","01","02","00","00","00",45.43,1014.1,33.98,12.65858
"24",1,"2013","01","02","01","00","00",42.84,1014.4,33.08,10.35702
"25",1,"2013","01","02","02","00","00",49.19,1015.2,32,14.96014
"26",1,"2013","01","02","03","00","00",48.48,1016,30.02,18.41248
"27",1,"2013","01","02","04","00","00",48.69,1016.5,28.94,18.41248
"28",1,"2013","01","02","05","00","00",48.15,1016.4,28.04,16.11092
